Date,Action,Ticker,Shares,Price,Value,Slippage,Beta,Trigger,Module,Regime,PDS_Status
2022-01-19,BUY,TSLA,7471.6638,331.88,2479720.69,3719.58,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-01-19,BUY,NVDA,121760.4516,25.02,3046103.07,4569.15,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-01-19,BUY,PLTR,202379.5183,14.56,2946645.87,4419.97,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-01-21,SELL,MRVL,98463.2182,71.35,7025428.6,17563.57,4.61,KILL_CHAIN beta=4.61,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,TSLA,34159.9524,314.63,10747859.62,26869.65,3.85,KILL_CHAIN beta=3.85,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,AMD,54926.1493,118.81,6525775.66,16314.44,3.56,KILL_CHAIN beta=3.56,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,NVDA,559278.9016,23.33,13046603.84,32616.51,3.21,KILL_CHAIN beta=3.21,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,PLTR,578207.7367,13.53,7823150.52,19557.88,3.1,KILL_CHAIN beta=3.10,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,VRT,295033.5767,21.25,6269773.57,15674.43,2.95,KILL_CHAIN beta=2.95,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,MU,100710.2454,80.1,8067121.01,20167.8,2.72,KILL_CHAIN beta=2.72,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,AVGO,181157.5313,49.29,8929403.46,22323.51,2.11,KILL_CHAIN beta=2.11,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,ANET,254660.4395,29.66,7552591.81,18881.48,1.87,KILL_CHAIN beta=1.87,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-01-21,SELL,ETN,50711.2732,149.99,7606164.8,19015.41,1.63,KILL_CHAIN beta=1.63,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-02,BUY,BTC,203.310272,36952.98,7512921.29,11269.38,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,DELEVERAGE_1
2022-02-04,BUY,TSLA,12746.5473,307.77,3923047.52,5884.57,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,NVDA,152582.5575,24.27,3703280.89,5554.92,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,AMD,18136.2834,123.6,2241644.6,3362.47,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,PLTR,252783.6523,12.94,3271020.36,4906.53,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,MU,35911.7989,79.36,2849932.99,4274.9,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,ANET,76998.9511,30.58,2354627.92,3531.94,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,MRVL,42635.7986,69.92,2981297.94,4471.95,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-04,BUY,ETN,18045.093,141.08,2545739.79,3818.61,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-02-07,BUY,TSLA,9540.698,302.45,2885552.21,4328.33,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-07,BUY,NVDA,113690.7123,24.68,2805756.71,4208.64,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-07,BUY,AVGO,82581.5962,54.32,4485785.66,6728.68,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-07,BUY,VRT,154406.8803,21.53,3324362.57,4986.54,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,TSLA,18239.389,307.33,5605572.41,5605.57,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,NVDA,284007.2741,25.06,7116684.23,7116.68,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,AMD,46426.7671,128.23,5953304.15,5953.3,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,PLTR,476943.3263,13.15,6271804.56,6271.8,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,MU,72589.948,82.24,5970046.39,5970.05,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,ANET,207124.3668,30.84,6387715.5,6387.72,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,AVGO,98929.5546,55.48,5488932.8,5488.93,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,MRVL,71454.159,75.24,5375888.58,5375.89,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,ETN,33560.1685,141.54,4750230.46,4750.23,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-08,BUY,VRT,126455.9605,22.43,2835918.09,2835.92,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-11,SELL,MRVL,98457.4185,66.87,6583468.5,9875.2,3.49,KILL_CHAIN beta=3.49,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,TSLA,34309.1803,286.67,9835297.99,14752.95,3.36,KILL_CHAIN beta=3.36,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,PLTR,681214.4717,13.13,8944346.09,13416.52,3.17,KILL_CHAIN beta=3.17,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,AMD,57003.6219,113.18,6451669.95,9677.5,3.13,KILL_CHAIN beta=3.13,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,NVDA,552174.6696,23.9,13197748.49,19796.62,2.86,KILL_CHAIN beta=2.86,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,MU,118733.0531,87.76,10419729.46,15629.59,2.27,KILL_CHAIN beta=2.27,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
