Date,Action,Ticker,Shares,Price,Value,Slippage,Trigger,Module,Regime,PDS_Status,Beta
2025-10-06,SELL,BTC,780.223252,124752.53,97334825.68,97334.83,EDR/PDS crypto kill-chain target=2.0% delev=0.55 micro=0.64 pds=NORMAL,CRYPTO_KILL_CHAIN,RISK_ON,NORMAL,
2025-10-10,SELL,AMD,30611.3462,214.9,6578378.12,6578.38,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2025-10-10,BUY,ALAB,13973.8745,206.21,2881552.74,2881.55,Regime→WATCH,ARES,WATCH,NORMAL,
2025-10-10,BUY,AVGO,15691.7101,323.33,5073628.66,5073.63,Regime→WATCH,ARES,WATCH,NORMAL,
2025-10-10,SELL,MRVL,59425.9031,85.51,5081250.22,5081.25,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2025-10-10,SELL,VRT,17135.8248,168.91,2894356.54,2894.36,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2025-10-13,CDF_RESET,AVGO,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2025-10-27,SELL_CALL,AMD,,,64314.76,,Gain=61%,PERM,WATCH,NORMAL,
2025-10-27,SELL_CALL,MU,,,71690.58,,Gain=40%,PERM,WATCH,NORMAL,
2025-10-27,SELL_CALL,MRVL,,,57340.02,,Gain=32%,PERM,WATCH,NORMAL,
2025-10-27,SELL_CALL,VRT,,,46402.58,,Gain=40%,PERM,WATCH,NORMAL,
2025-10-30,SELL,AMD,12828.4395,254.84,3269199.47,3269.2,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2025-10-30,BUY,ALAB,25396.4624,169.55,4305970.28,4305.97,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2025-10-30,SELL,MU,32414.7242,223.83,7255242.36,7255.24,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2025-10-30,SELL,AVGO,9099.3695,374.96,3411940.62,3411.94,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2025-10-30,BUY,BTC,943.88989,108305.55,102228510.77,102228.51,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
